set_num,name,year,theme_id,num_parts,set_img_url,set_url
77006-1,Team Sonic Command Truck,2025,747,747,https://cdn.rebrickable.com/media/sets/77006-1/156212.jpg,https://rebrickable.com/sets/77006-1/team-sonic-command-truck/
910046-1,Merchant Boat,2025,719,2196,https://cdn.rebrickable.com/media/sets/910046-1/151196.jpg,https://rebrickable.com/sets/910046-1/merchant-boat/
42213-1,Ford Bronco SUV,2025,1,943,https://cdn.rebrickable.com/media/sets/42213-1/155239.jpg,https://rebrickable.com/sets/42213-1/ford-bronco-suv/
42206-1,Oracle Red Bull Racing RB20 F1 Car,2025,1,1639,https://cdn.rebrickable.com/media/sets/42206-1/148445.jpg,https://rebrickable.com/sets/42206-1/oracle-red-bull-racing-rb20-f1-car/
31217-1,Tiger,2025,709,744,https://cdn.rebrickable.com/media/sets/31217-1/154688.jpg,https://rebrickable.com/sets/31217-1/tiger/
40796-1,Revenge of the Sith Heroes & Villains,2025,610,656,https://cdn.rebrickable.com/media/sets/40796-1/154284.jpg,https://rebrickable.com/sets/40796-1/revenge-of-the-sith-heroes-villains/
76322-1,Avengers: Endgame Thor vs. Chitauri,2025,781,373,https://cdn.rebrickable.com/media/sets/76322-1/155256.jpg,https://rebrickable.com/sets/76322-1/avengers-endgame-thor-vs-chitauri/
60462-1,"Helicopter, Fire Truck & Submarine Remix",2025,52,876,https://cdn.rebrickable.com/media/sets/60462-1/149896.jpg,https://rebrickable.com/sets/60462-1/helicopter-fire-truck-submarine-remix/
910048-1,Riverside Scholars,2025,719,2785,https://cdn.rebrickable.com/media/sets/910048-1/151198.jpg,https://rebrickable.com/sets/910048-1/riverside-scholars/
60460-1,No Limits: Race Car Ramp Track,2025,52,436,https://cdn.rebrickable.com/media/sets/60460-1/149882.jpg,https://rebrickable.com/sets/60460-1/no-limits-race-car-ramp-track/
75417-1,AT-ST Walker,2025,171,1513,https://cdn.rebrickable.com/media/sets/75417-1/158623.jpg,https://rebrickable.com/sets/75417-1/at-st-walker/
71830-1,Kai's Mech Storm Rider,2025,435,333,https://cdn.rebrickable.com/media/sets/71830-1/149503.jpg,https://rebrickable.com/sets/71830-1/kais-mech-storm-rider/
60467-1,Heavy-Duty Recovery Tow Truck with Crane,2025,56,793,https://cdn.rebrickable.com/media/sets/60467-1/155539.jpg,https://rebrickable.com/sets/60467-1/heavy-duty-recovery-tow-truck-with-crane/
76313-1,MARVEL Logo,2025,781,931,https://cdn.rebrickable.com/media/sets/76313-1/148832.jpg,https://rebrickable.com/sets/76313-1/marvel-logo/
31163-1,Playful Cat,2025,672,407,https://cdn.rebrickable.com/media/sets/31163-1/149717.jpg,https://rebrickable.com/sets/31163-1/playful-cat/
40825-1,Halloween Wreath,2025,230,617,https://cdn.rebrickable.com/media/sets/40825-1/158588.jpg,https://rebrickable.com/sets/40825-1/halloween-wreath/
77076-1,Durrr Burger Restaurant,2025,766,546,https://cdn.rebrickable.com/media/sets/77076-1/154757.jpg,https://rebrickable.com/sets/77076-1/durrr-burger-restaurant/
10374-1,Bouquet of Pink Roses,2025,769,789,https://cdn.rebrickable.com/media/sets/10374-1/159225.jpg,https://rebrickable.com/sets/10374-1/bouquet-of-pink-roses/
42201-1,Deep-Sea Research Submarine,2025,1,413,https://cdn.rebrickable.com/media/sets/42201-1/149542.jpg,https://rebrickable.com/sets/42201-1/deep-sea-research-submarine/
42215-1,Volvo EC500 Hybrid Excavator,2025,1,2359,https://cdn.rebrickable.com/media/sets/42215-1/155221.jpg,https://rebrickable.com/sets/42215-1/volvo-ec500-hybrid-excavator/
76451-1,Privet Drive: Aunt Marge's Visit,2025,246,640,https://cdn.rebrickable.com/media/sets/76451-1/155721.jpg,https://rebrickable.com/sets/76451-1/privet-drive-aunt-marges-visit/
76457-1,Hogsmeade Village – Collectors' Edition,2025,246,3228,https://cdn.rebrickable.com/media/sets/76457-1/160018.jpg,https://rebrickable.com/sets/76457-1/hogsmeade-village-collectors-edition/
76446-1,Knight Bus Adventure,2025,246,499,https://cdn.rebrickable.com/media/sets/76446-1/148671.jpg,https://rebrickable.com/sets/76446-1/knight-bus-adventure/
42208-1,Aston Martin Valkyrie,2025,1,708,https://cdn.rebrickable.com/media/sets/42208-1/155173.jpg,https://rebrickable.com/sets/42208-1/aston-martin-valkyrie/
76321-1,Spider-Man vs. Doc Ock Subway Train Scene,2025,706,393,https://cdn.rebrickable.com/media/sets/76321-1/155041.jpg,https://rebrickable.com/sets/76321-1/spider-man-vs-doc-ock-subway-train-scene/
71843-1,Rogue's Mech Dragon Rider,2025,435,584,https://cdn.rebrickable.com/media/sets/71843-1/155606.jpg,https://rebrickable.com/sets/71843-1/rogues-mech-dragon-rider/
43010-1,Nike Slam Dunk,2025,785,809,https://cdn.rebrickable.com/media/sets/43010-1/159982.jpg,https://rebrickable.com/sets/43010-1/nike-slam-dunk/
71845-1,Lloyd’s Jet Mech,2025,435,1112,https://cdn.rebrickable.com/media/sets/71845-1/155633.jpg,https://rebrickable.com/sets/71845-1/lloyds-jet-mech/
40785-1,Northern Lights Diorama,2025,598,332,https://cdn.rebrickable.com/media/sets/40785-1/161512.jpg,https://rebrickable.com/sets/40785-1/northern-lights-diorama/
40810-1,LEGOLAND Park Portal,2025,425,323,https://cdn.rebrickable.com/media/sets/40810-1/153592.jpg,https://rebrickable.com/sets/40810-1/legoland-park-portal/
42652-1,Friendship Tree House Hangout,2025,494,701,https://cdn.rebrickable.com/media/sets/42652-1/149191.jpg,https://rebrickable.com/sets/42652-1/friendship-tree-house-hangout/
76447-1,Hogwarts Castle: Flying Lessons,2025,246,649,https://cdn.rebrickable.com/media/sets/76447-1/148683.jpg,https://rebrickable.com/sets/76447-1/hogwarts-castle-flying-lessons/
76454-1,Hogwarts Castle: The Main Tower,2025,246,2131,https://cdn.rebrickable.com/media/sets/76454-1/155297.jpg,https://rebrickable.com/sets/76454-1/hogwarts-castle-the-main-tower/
72044-1,Mario Kart – Piranha Plant Power-Up Pursuit,2025,690,588,https://cdn.rebrickable.com/media/sets/72044-1/158487.jpg,https://rebrickable.com/sets/72044-1/mario-kart-piranha-plant-power-up-pursuit/
76968-1,Dinosaur Fossils: Tyrannosaurus Rex,2025,602,3145,https://cdn.rebrickable.com/media/sets/76968-1/152803.jpg,https://rebrickable.com/sets/76968-1/dinosaur-fossils-tyrannosaurus-rex/
75690-1,Glinda & Elphaba Visit Munchkinland,2025,765,744,https://cdn.rebrickable.com/media/sets/75690-1/159045.jpg,https://rebrickable.com/sets/75690-1/glinda-elphaba-visit-munchkinland/
76786-1,Morticia's Cottage,2025,768,1002,https://cdn.rebrickable.com/media/sets/76786-1/159843.jpg,https://rebrickable.com/sets/76786-1/morticias-cottage/
75416-1,Chopper (C1-10P) Astromech Droid,2025,158,1039,https://cdn.rebrickable.com/media/sets/75416-1/154252.jpg,https://rebrickable.com/sets/75416-1/chopper-c1-10p-astromech-droid/
21272-1,Woodland Mansion Fighting Ring,2025,577,491,https://cdn.rebrickable.com/media/sets/21272-1/151821.jpg,https://rebrickable.com/sets/21272-1/woodland-mansion-fighting-ring/
43272-1,Heihei,2025,608,566,https://cdn.rebrickable.com/media/sets/43272-1/148590.jpg,https://rebrickable.com/sets/43272-1/heihei/
910041-1,Camping Adventure,2025,719,667,https://cdn.rebrickable.com/media/sets/910041-1/145355.jpg,https://rebrickable.com/sets/910041-1/camping-adventure/
42207-1,Ferrari SF-24 F1 Car,2025,1,1361,https://cdn.rebrickable.com/media/sets/42207-1/148295.jpg,https://rebrickable.com/sets/42207-1/ferrari-sf-24-f1-car/
76326-1,Iron Spider-Man Bust,2025,781,379,https://cdn.rebrickable.com/media/sets/76326-1/154065.jpg,https://rebrickable.com/sets/76326-1/iron-spider-man-bust/
43277-1,Cruella De Vil's Car,2025,608,378,https://cdn.rebrickable.com/media/sets/43277-1/157124.jpg,https://rebrickable.com/sets/43277-1/cruella-de-vils-car/
75689-1,Emerald City & Kiamo Ko Castle,2025,765,860,https://cdn.rebrickable.com/media/sets/75689-1/159036.jpg,https://rebrickable.com/sets/75689-1/emerald-city-kiamo-ko-castle/
76784-1,Black Dahlia Flower,2025,768,358,https://cdn.rebrickable.com/media/sets/76784-1/155096.jpg,https://rebrickable.com/sets/76784-1/black-dahlia-flower/
43267-1,Princess Castle & Royal Pets,2025,579,787,https://cdn.rebrickable.com/media/sets/43267-1/155491.jpg,https://rebrickable.com/sets/43267-1/princess-castle-royal-pets/
75688-1,Glinda’s Wedding Day,2025,765,476,https://cdn.rebrickable.com/media/sets/75688-1/159064.jpg,https://rebrickable.com/sets/75688-1/glindas-wedding-day/
43263-1,Beauty and the Beast Castle,2025,608,2916,https://cdn.rebrickable.com/media/sets/43263-1/153120.jpg,https://rebrickable.com/sets/43263-1/beauty-and-the-beast-castle/
76445-1,Hogwarts Castle: Herbology Class,2025,246,390,https://cdn.rebrickable.com/media/sets/76445-1/155680.jpg,https://rebrickable.com/sets/76445-1/hogwarts-castle-herbology-class/
42202-1,Ducati Panigale V4 S Motorcycle,2025,1,1603,https://cdn.rebrickable.com/media/sets/42202-1/148354.jpg,https://rebrickable.com/sets/42202-1/ducati-panigale-v4-s-motorcycle/
80119-1,Galloping Horse Canvas,2025,686,1650,https://cdn.rebrickable.com/media/sets/80119-1/162983.jpg,https://rebrickable.com/sets/80119-1/galloping-horse-canvas/
43008-1,Nike Dunk,2025,785,1180,https://cdn.rebrickable.com/media/sets/43008-1/157061.jpg,https://rebrickable.com/sets/43008-1/nike-dunk/
71841-1,Dragonian Storm Village,2025,435,305,https://cdn.rebrickable.com/media/sets/71841-1/149504.jpg,https://rebrickable.com/sets/71841-1/dragonian-storm-village/
