set_num,title,price,condition,classification,item_id,review_status
75083-1,LEGO Star Wars: At-DP (75083),172.43,NEW,FULL_SET,v1|117007887473|0,PENDING
75083-1,"LEGO Star Wars Rebels - Figurine AT-DP PILOT WHITE UNIFORM - sw0624, set 75083",13.95,USED,FULL_SET,v1|117207027128|0,PENDING
75083-1,Lego Star Wars AT-DP 75083 Rebels Agent Kallus Pilot Stormtrooper 2015,215.53,NEW,FULL_SET,v1|117231004659|0,PENDING
75083-1,Lego Star Wars 75083 AT-DP 2015 juego retirado nuevo sellado de fábrica en caja sin abrir,170.70,USED,FULL_SET,v1|117281393164|0,PENDING
75083-1,LEGO 75083: STAR WARS REBELS - AT-DP - 100% Completo Con Manual Excelente Estado,80.50,USED,FULL_SET,v1|127335126708|0,PENDING
75106-1,LEGO Star Wars Imperial Assault Carrier (75106),268.12,NEW,FULL_SET,v1|117015216308|0,PENDING
75106-1,LEGO Star Wars Imperial Assault Carrier (75106)- Nuevo en caja sellada de fábrica,300.89,NEW,FULL_SET,v1|117248449389|0,PENDING
75106-1,LEGO Star Wars: Imperial Assault Carrier (75106) Rebels Retired Set ,279.69,NEW,FULL_SET,v1|117409874066|0,PENDING
75106-1,LEGO Star Wars: Imperial Assault Carrier (75106) 100% complete With Box,235.55,NEW,FULL_SET,v1|126136266845|0,PENDING
75106-1,LEGO Star Wars Imperial Assault Carrier 75106,151.26,USED,FULL_SET,v1|128042988710|0,PENDING
77904-1,LEGO Star Wars: Fragata Nebulon-B (77904)—AFA 9.0,452.63,NEW,FULL_SET,v1|116115829061|0,PENDING
77904-1,"LEGO STAR WARS Nebulon-B Fragata 77904 2020 SDCC Exclusivo NUEVO, SELLADO",193.98,NEW,FULL_SET,v1|116940312508|0,PENDING
77904-1,LEGO Star Wars: Fragata Nebulon-B (77904),215.54,NEW,FULL_SET,v1|117322367957|0,PENDING
77904-1,LEGO Star Wars 77904 SDCC Comic Con Exclusivo Nebulon-B Fragata 40º Totalmente NUEVO,224.15,NEW,FULL_SET,v1|124499201971|0,PENDING
77904-1,LEGO Star Wars Nebulon-B Frigate 77904 San Diego Comic-Con SDCC 2020 Limited Set,182.73,NEW,FULL_SET,v1|137397114182|0,PENDING
75172-1,Lego 75172 - Star Wars Y-Wing Starfighter - Nuevo / EMBALAJE ORIGINAL,267.42,NEW,FULL_SET,v1|126931656243|0,PENDING
75172-1,LEGO Star Wars: Y-Wing Starfighter (75172),52.16,USED,FULL_SET,v1|137649692973|0,PENDING
75172-1,LEGO Star Wars 75172 BOLSAS SELLADAS #4 + 5 más instrucciones - Nuevo,26.03,NEW,FULL_SET,v1|147240288735|0,PENDING
75172-1,LEGO Y WING STARFIGHTER 75172 (1008282-18),168.97,USED,FULL_SET,v1|147311119218|0,PENDING
75172-1,Lego Star Wars 75172 Y-Wing Starfighter - con figura de droide - viene con manual,60.50,USED,FULL_SET,v1|147365945309|0,PENDING
21019-1,LEGO Arquitectura La Torre Eiffel (21019) seminuevo,41.72,USED,FULL_SET,v1|115014261237|0,PENDING
21019-1,Lego Arquitectura La Torre Eiffel (21019) Kit de Construcción 321 Piezas Juego Retirado,155.19,NEW,FULL_SET,v1|115434930530|0,PENDING
21019-1,LEGO ARCHITECTURE RETIRADO: La Torre Eiffel (21019) Usado 100% Completo,25.03,USED,FULL_SET,v1|117250074472|0,PENDING
21019-1,"LEGO - Arquitectura - La Torre Eiffel 21019 - Nuevo, Juego Retirado - ¡Raro!",146.04,NEW,FULL_SET,v1|117407941123|0,PENDING
21019-1,New LEGO Architecture  - The Eiffel Tower (21019) - Sealed European Box,105.28,NEW,FULL_SET,v1|127446776553|0,PENDING
21006-1,LEGO Arquitectura Casa Blanca 21006 Usado con Caja e Instrucciones 99% Comp Ver Desc,62.58,USED,FULL_SET,v1|115140915582|0,PENDING
21006-1,LEGO Arquitectura La Casa Blanca (21006) 100% Completo,26.08,USED,FULL_SET,v1|117048970159|0,PENDING
21006-1,LEGO ARCHITECTURE La Casa Blanca 21006 Washington DC EE. UU. Juego Retirado Sellado ,135.56,NEW,FULL_SET,v1|117395183334|0,PENDING
21006-1,LEGO ARCHITECTURE: La Casa Blanca (21006) COMPLETO (¡LEER DESCRIPCIÓN!),20.86,USED,FULL_SET,v1|126583214216|0,PENDING
21006-1,@ LEGO ARCHITECTURE@ La Casa Blanca La Casa Blanca @ 21006@ BA@EMBALAJE ORIGINAL@TOP@,38.50,USED,FULL_SET,v1|127615906111|0,PENDING
21050-1,LEGO Architecture Studio 21050 - Sellado de fábrica en caja de envío LEGO original,344.00,NEW,FULL_SET,v1|117348097866|0,PENDING
21050-1,LEGO Architecture Studio 21050 1210 piezas caja sellada de fábrica retirada (caja de desgaste),301.74,NEW,FULL_SET,v1|127697473934|0,PENDING
21050-1,LEGO ARCHITECTURE: Architecture Studio 21050 sellado de fábrica/retirado,344.85,NEW,FULL_SET,v1|146972737729|0,PENDING
21050-1,LEGO Architecture 21050 - Studio Architecture - 100% Completo - Usado con EMBALAJE ORIGINAL,290.00,USED,FULL_SET,v1|147226333222|0,PENDING
21050-1,LEGO ARCHITECTURE: Architecture Studio (21050),215.54,NEW,FULL_SET,v1|157368883180|0,PENDING
21036-1,Lego 21036 Arco del Triunfo - Nuevo sin abrir - RETIRED SET Collection Architecture,104.49,NEW,FULL_SET,v1|134756385440|0,PENDING
21036-1,Lego Architecture: Arc De Triomphe (21036) usado con manual,78.24,USED,FULL_SET,v1|137519877215|0,PENDING
21036-1,LEGO Architecture 21036 Arc de Triomphe - Brand New In Box - Retired Set,153.76,NEW,FULL_SET,v1|147389222466|0,PENDING
21036-1,LEGO Architecture 21036 Arco del Triunfo Conjunto de Construcción París Landmark NUEVO AL POR MENOR,172.42,NEW,FULL_SET,v1|162743646506|0,PENDING
21036-1,LEGO 21036 ARC DE TRIONPHE - PARIS FRANCE- NUOVO SIGILLATO - MISB,140.00,NEW,FULL_SET,v1|167126981071|0,PENDING
21029-1,LEGO Black Tile 1 x 8 with Printed 'Buckingham Palace' Pattern (4162 21029) - x1,4.86,USED,FULL_SET,v1|116050401464|0,PENDING
21029-1,LEGO Architecture - Palacio de Buckingham - Set 21029 - Nuevo en Caja,172.13,NEW,FULL_SET,v1|127806869634|0,PENDING
21029-1,LEGO ARCHITECTURE: Palacio de Buckingham (21029) Usado con Instrucciones,70.94,USED,FULL_SET,v1|137519998824|0,PENDING
21029-1,LEGO Architecture Palacio de Buckingham 21029 - Completo como en la foto - Gran exhibición,46.94,USED,FULL_SET,v1|137600186160|0,PENDING
21029-1,LEGO Architecture 21029 Buckingham Palace - Brand New In Box - Retired Set,183.57,NEW,FULL_SET,v1|147389205690|0,PENDING
4867-1,Lego Harry Potter Hogwarts 4867 Dementor Fondo Largo Lupin Goyle Brote 2011,135.61,NEW,FULL_SET,v1|115503113932|0,PENDING
4867-1,Lego 4840 - La Madriguera y 4867 Hogwarts - Raro Retirado  ,99.11,USED,FULL_SET,v1|115834189723|0,PENDING
4867-1,LEGO Harry Potter Hogwarts (4867) w/ Lucius Malfoy Retired 2011 ~NEW SEALED 🇨🇦,150.41,NEW,FULL_SET,v1|116306485847|0,PENDING
